microchip,sex,arks,current.encl.,origin,control,treatment,date,extra.bait,removed,bait,eaten,time
9.56E+14,female,B60019,F8,QLD F1,KV,PO,12/5/16,PV*,smell,control,1,3
9.56E+14,female,B60019,F8,QLD F1,KV,PO,10/5/16,PO(\/),look,control,1,2
9.56E+14,female,B60019,F8,QLD F1,KV,PO,10/5/16,PO(\/),look,swap,0,2
9.56E+14,female,B60019,F8,QLD F1,KV,PO,10/5/16,PO(\/),look,treatment,0,2
9.56E+14,female,B60019,F8,QLD F1,KV,PO,8/5/16,KO*,taste,control,1,1
9.56E+14,female,B60019,F8,QLD F1,KV,PO,8/5/16,KO*,taste,swap,1,1
9.56E+14,female,B60019,F8,QLD F1,KV,PO,8/5/16,KO*,taste,treatment,0,1
9.41E+14,female,B60022,E1,QLD F1,PO,KV,12/5/16,PV(\/),taste,control,1,3
9.41E+14,female,B60022,E1,QLD F1,PO,KV,8/5/16,KV*,look,control,1,1
9.41E+14,female,B60022,E1,QLD F1,PO,KV,8/5/16,KV*,look,swap,0,1
9.41E+14,female,B60022,E1,QLD F1,PO,KV,8/5/16,KV*,look,treatment,0,1
9.41E+14,female,B60022,E1,QLD F1,PO,KV,10/5/16,KO(\/),smell,control,1,2
9.41E+14,female,B60022,E1,QLD F1,PO,KV,10/5/16,KO(\/),smell,swap,1,2
9.41E+14,female,B60022,E1,QLD F1,PO,KV,10/5/16,KO(\/),smell,treatment,0,2
9.41E+14,female,B60022,E1,QLD F1,PO,KV,12/5/16,PV(\/),taste,swap,1,3
9.41E+14,female,B60022,E1,QLD F1,PO,KV,12/5/16,PV(\/),taste,treatment,0,3
9.56E+14,male,B60024,G9,QLD F1,PO,KV,12/5/16,KV*,look,control,1,3
9.56E+14,male,B60024,G9,QLD F1,PO,KV,8/5/16,KO(\/),smell,control,1,1
9.56E+14,male,B60024,G9,QLD F1,PO,KV,8/5/16,KO(\/),smell,swap,0,1
9.56E+14,male,B60024,G9,QLD F1,PO,KV,12/5/16,KV*,look,treatment,0,3
9.56E+14,male,B60024,G9,QLD F1,PO,KV,10/5/16,PV(\/),taste,swap,1,2
9.56E+14,male,B60024,G9,QLD F1,PO,KV,8/5/16,KO(\/),smell,treatment,0,1
9.56E+14,male,B60024,G9,QLD F1,PO,KV,12/5/16,KV*,look,swap,1,3
9.56E+14,male,B60024,G9,QLD F1,PO,KV,10/5/16,PV(\/),taste,control,1,2
9.56E+14,male,B60024,G9,QLD F1,PO,KV,10/5/16,PV(\/),taste,treatment,0,2
9.56E+14,female,B60026,F7,QLD F1,KV,PO,12/5/16,PV*,smell,swap,0,2
9.56E+14,female,B60026,F7,QLD F1,KV,PO,12/5/16,PV*,smell,control,1,2
9.56E+14,female,B60026,F7,QLD F1,KV,PO,17/5/16,PV*,smell,control,1,3
9.56E+14,female,B60026,F7,QLD F1,KV,PO,10/5/16,PO(\/),look,control,1,1
9.56E+14,female,B60026,F7,QLD F1,KV,PO,17/5/16,PV*,smell,swap,0,3
9.56E+14,female,B60026,F7,QLD F1,KV,PO,10/5/16,PO(\/),look,swap,0,1
9.56E+14,female,B60026,F7,QLD F1,KV,PO,12/5/16,PV*,smell,treatment,0,2
9.56E+14,female,B60026,F7,QLD F1,KV,PO,17/5/16,PV*,smell,treatment,0,3
9.56E+14,female,B60026,F7,QLD F1,KV,PO,10/5/16,PO(\/),look,treatment,0,1
9.41E+14,female,B60027,A9,QLD F1,KV,PO,12/5/16,KO*,taste,control,1,3
9.41E+14,female,B60027,A9,QLD F1,KV,PO,10/5/16,PV*,smell,control,0,2
9.41E+14,female,B60027,A9,QLD F1,KV,PO,12/5/16,KO*,taste,swap,1,3
9.41E+14,female,B60027,A9,QLD F1,KV,PO,8/5/16,PO(\/),look,control,1,1
9.41E+14,female,B60027,A9,QLD F1,KV,PO,8/5/16,PO(\/),look,swap,0,1
9.41E+14,female,B60027,A9,QLD F1,KV,PO,8/5/16,PO(\/),look,treatment,0,1
9.41E+14,female,B60027,A9,QLD F1,KV,PO,12/5/16,KO*,taste,treatment,0,3
9.41E+14,female,B60027,A9,QLD F1,KV,PO,10/5/16,PV*,smell,swap,0,2
9.41E+14,female,B60027,A9,QLD F1,KV,PO,10/5/16,PV*,smell,treatment,0,2
9.56E+14,female,B60039,D8,Astell,PO,KV,8/5/16,PV(\/),taste,treatment,0,1
9.56E+14,female,B60039,D8,Astell,PO,KV,10/5/16,KV*,look,control,0,2
9.56E+14,female,B60039,D8,Astell,PO,KV,8/5/16,PV(\/),taste,control,0,1
9.56E+14,female,B60039,D8,Astell,PO,KV,8/5/16,PV(\/),taste,swap,0,1
9.56E+14,female,B60039,D8,Astell,PO,KV,12/5/16,KO(\/),smell,control,0,3
9.56E+14,female,B60039,D8,Astell,PO,KV,12/5/16,KO(\/),smell,swap,0,3
9.56E+14,female,B60039,D8,Astell,PO,KV,10/5/16,KV*,look,swap,0,2
9.56E+14,female,B60039,D8,Astell,PO,KV,10/5/16,KV*,look,treatment,0,2
9.56E+14,female,B60039,D8,Astell,PO,KV,12/5/16,KO(\/),smell,treatment,0,3
9.56E+14,male,B60040,D9,Astell,PO,KV,10/5/16,KV*,look,control,1,2
9.56E+14,male,B60040,D9,Astell,PO,KV,10/5/16,KV*,look,swap,1,2
9.56E+14,male,B60040,D9,Astell,PO,KV,8/5/16,PV(\/),taste,swap,1,1
9.56E+14,male,B60040,D9,Astell,PO,KV,8/5/16,PV(\/),taste,treatment,1,1
9.56E+14,male,B60040,D9,Astell,PO,KV,12/5/16,KO(\/),smell,treatment,1,3
9.56E+14,male,B60040,D9,Astell,PO,KV,8/5/16,PV(\/),taste,control,1,1
9.56E+14,male,B60040,D9,Astell,PO,KV,12/5/16,KO(\/),smell,control,1,3
9.56E+14,male,B60040,D9,Astell,PO,KV,12/5/16,KO(\/),smell,swap,1,3
9.56E+14,male,B60040,D9,Astell,PO,KV,10/5/16,KV*,look,treatment,1,2
9.56E+14,female,B60042,D10,Astell,PO,KV,8/5/16,PV(\/),taste,control,1,1
9.56E+14,female,B60042,D10,Astell,PO,KV,12/5/16,KO(\/),smell,control,1,3
9.56E+14,female,B60042,D10,Astell,PO,KV,10/5/16,KV*,look,control,0,2
9.56E+14,female,B60042,D10,Astell,PO,KV,10/5/16,KV*,look,swap,0,2
9.56E+14,female,B60042,D10,Astell,PO,KV,10/5/16,KV*,look,treatment,0,2
9.56E+14,female,B60042,D10,Astell,PO,KV,8/5/16,PV(\/),taste,swap,1,1
9.56E+14,female,B60042,D10,Astell,PO,KV,8/5/16,PV(\/),taste,treatment,0,1
9.56E+14,female,B60042,D10,Astell,PO,KV,12/5/16,KO(\/),smell,treatment,0,3
9.56E+14,female,B60042,D10,Astell,PO,KV,12/5/16,KO(\/),smell,swap,0,3
9.56E+14,female,B60043,D12,Astell,PO,KV,8/5/16,PV(\/),taste,swap,1,1
9.56E+14,female,B60043,D12,Astell,PO,KV,8/5/16,PV(\/),taste,treatment,1,1
9.56E+14,female,B60043,D12,Astell,PO,KV,8/5/16,PV(\/),taste,control,1,1
9.56E+14,female,B60043,D12,Astell,PO,KV,12/5/16,KO(\/),smell,control,1,3
9.56E+14,female,B60043,D12,Astell,PO,KV,12/5/16,KO(\/),smell,swap,1,3
9.56E+14,female,B60043,D12,Astell,PO,KV,10/5/16,KV*,look,control,1,2
9.56E+14,female,B60043,D12,Astell,PO,KV,10/5/16,KV*,look,swap,1,2
9.56E+14,female,B60043,D12,Astell,PO,KV,10/5/16,KV*,look,treatment,1,2
9.56E+14,female,B60043,D12,Astell,PO,KV,12/5/16,KO(\/),smell,treatment,1,3
9.56E+14,male,B60044,D13,Astell,PO,KV,10/5/16,KV*,look,control,1,2
9.56E+14,male,B60044,D13,Astell,PO,KV,8/5/16,PV(\/),taste,control,1,1
9.56E+14,male,B60044,D13,Astell,PO,KV,8/5/16,PV(\/),taste,treatment,0,1
9.56E+14,male,B60044,D13,Astell,PO,KV,12/5/16,KO(\/),smell,swap,1,3
9.56E+14,male,B60044,D13,Astell,PO,KV,10/5/16,KV*,look,swap,1,2
9.56E+14,male,B60044,D13,Astell,PO,KV,8/5/16,PV(\/),taste,swap,1,1
9.56E+14,male,B60044,D13,Astell,PO,KV,12/5/16,KO(\/),smell,control,1,3
9.56E+14,male,B60044,D13,Astell,PO,KV,12/5/16,KO(\/),smell,treatment,1,3
9.56E+14,male,B60044,D13,Astell,PO,KV,10/5/16,KV*,look,treatment,1,2
9.56E+14,female,B60048,D3,Astell,PO,KV,8/5/16,PV(\/),taste,control,1,1
9.56E+14,female,B60048,D3,Astell,PO,KV,10/5/16,KV*,look,control,1,2
9.56E+14,female,B60048,D3,Astell,PO,KV,10/5/16,KV*,look,swap,0,2
9.56E+14,female,B60048,D3,Astell,PO,KV,10/5/16,KV*,look,treatment,0,2
9.56E+14,female,B60048,D3,Astell,PO,KV,12/5/16,KO(\/),smell,control,1,3
9.56E+14,female,B60048,D3,Astell,PO,KV,8/5/16,PV(\/),taste,swap,1,1
9.56E+14,female,B60048,D3,Astell,PO,KV,8/5/16,PV(\/),taste,treatment,0,1
9.56E+14,female,B60048,D3,Astell,PO,KV,12/5/16,KO(\/),smell,swap,0,3
9.56E+14,female,B60048,D3,Astell,PO,KV,12/5/16,KO(\/),smell,treatment,1,3
9.56E+14,female,B60049,D1,Astell,PO,KV,8/5/16,PV(\/),taste,control,0,1
9.56E+14,female,B60049,D1,Astell,PO,KV,10/5/16,KV*,look,control,1,2
9.56E+14,female,B60049,D1,Astell,PO,KV,12/5/16,KO(\/),smell,control,0,3
9.56E+14,female,B60049,D1,Astell,PO,KV,12/5/16,KO(\/),smell,swap,1,3
9.56E+14,female,B60049,D1,Astell,PO,KV,12/5/16,KO(\/),smell,treatment,0,3
9.56E+14,female,B60049,D1,Astell,PO,KV,10/5/16,KV*,look,swap,0,2
9.56E+14,female,B60049,D1,Astell,PO,KV,10/5/16,KV*,look,treatment,0,2
9.56E+14,female,B60049,D1,Astell,PO,KV,8/5/16,PV(\/),taste,swap,1,1
9.56E+14,female,B60049,D1,Astell,PO,KV,8/5/16,PV(\/),taste,treatment,0,1
9.56E+14,male,B60051,D6,Astell,PO,KV,10/5/16,KV*,look,control,1,2
9.56E+14,male,B60051,D6,Astell,PO,KV,10/5/16,KV*,look,swap,0,2
9.56E+14,male,B60051,D6,Astell,PO,KV,8/5/16,PV(\/),taste,control,1,1
9.56E+14,male,B60051,D6,Astell,PO,KV,8/5/16,PV(\/),taste,swap,1,1
9.56E+14,male,B60051,D6,Astell,PO,KV,8/5/16,PV(\/),taste,treatment,0,1
9.56E+14,male,B60051,D6,Astell,PO,KV,12/5/16,KO(\/),smell,control,1,3
9.56E+14,male,B60051,D6,Astell,PO,KV,12/5/16,KO(\/),smell,swap,0,3
9.56E+14,male,B60051,D6,Astell,PO,KV,12/5/16,KO(\/),smell,treatment,0,3
9.56E+14,male,B60051,D6,Astell,PO,KV,10/5/16,KV*,look,treatment,0,2
9.56E+14,male,B60053,G14,Astell,PO,KV,16/5/16,KO(\/),smell,control,1,3
9.56E+14,male,B60053,G14,Astell,PO,KV,10/5/16,PV(\/),taste,swap,1,1
9.56E+14,male,B60053,G14,Astell,PO,KV,10/5/16,PV(\/),taste,treatment,1,1
9.56E+14,male,B60053,G14,Astell,PO,KV,12/5/16,KV*,look,treatment,1,2
9.56E+14,male,B60053,G14,Astell,PO,KV,10/5/16,PV(\/),taste,control,1,1
9.56E+14,male,B60053,G14,Astell,PO,KV,12/5/16,KV*,look,control,1,2
9.56E+14,male,B60053,G14,Astell,PO,KV,12/5/16,KV*,look,swap,0,2
9.56E+14,male,B60053,G14,Astell,PO,KV,16/5/16,KO(\/),smell,swap,1,3
